pageid,title,protection,view_count,current_protection_status,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Measures of Central Tendencies ,Value,Current_Protection_Status
2594435,8 Women, ,365594,,,,,,,,,
2631131,Nike Free, ,365172,,,,,,,,,
145662,Elendil, ,364875,,,,,,,,,
3235466,Wadie Haddad, ,363012,,,,,,,,,
9165727,Pulmonary compliance, ,361374,,,,,,,,,
39804619,TowerFall, ,359681,,,,,,,,,
2504071,Ropin' the Wind, ,358169,,,,,,,,,
484242,Swisscom, ,357266,,,,,,,,,
6658079,Jessica Yellin, ,354811,,,,,,,,,
671232,Sacramento River Cats, ,353172,,,,,,,,,
1215734,Allama Iqbal Open University, ,349943,,,,,,,,,
15679509,List of Philadelphia 76ers seasons, ,349826,,,,,,,,,
330463,Channel Islands National Park, ,349450,,,,,,,,,
43406039,Jaipur Pink Panthers, ,346643,,,,,,,,,
211514,National Monument (United States), ,345621,,,,,,,,,
15559781,No Mercy (2005), ,345254,,,,,,,,,
4258103,Padmavyuha, ,345094,,,,,,,,,
7266116,Khinkali, ,343783,,,,,,,,,
599996,Finian's Rainbow, ,342500,,,,,,,,,
681931,Lady in the Lake, ,338481,,,,,,,,,
8103373,Reduction of nitro compounds, ,334654,,,,,,,,,
5123174,The Juniper Tree (fairy tale), ,333317,,,,,,,,,
25715899,Shwachman–Diamond syndrome, ,331716,,,,,,,,,
43716632,IFRS 15, ,331128,,,,,,,,,
44089637,Ryota Kohama, ,330413,,,,,,,,,
1251808,Master Order, ,330195,,,,,,,,,
2665751,List of people burned as heretics, ,329562,,,,,,,,,
4455796,Lateral inhibition, ,319444,,,,,,,,,
41427864,Wish You Were Here (2012 film), ,318041,,,,,,,,,
46976627,Who Am I 2015, ,313410,,,,,,,,,
13582676,Bottle service, ,308569,,,,,,,,,
1782110,Triumph (The Jacksons album), ,306616,,,,,,,,,
782564,Viewing frustum, ,304580,,,,,,,,,
524860,Uvular trill, ,302761,,,,,,,,,
2680144,Leopardus, ,302344,,,,,,,,,
14418222,Benita Hume, ,302174,,,,,,,,,
3570199,List of Chicago Bears players, ,301683,,,,,,,,,
197294,Clive Bell, ,301169,,,,,,,,,
496399,List of Presidents of Lebanon, ,299678,,,,,,,,,
10496881,List of impact craters in North America, ,298213,,,,,,,,,
26029457,Gustavo de Greiff, ,298155,,,,,,,,,
4095564,Lucas di Grassi, ,297115,,,,,,,,,
1663988,Babe I'm Gonna Leave You, ,295772,,,,,,,,,
1136879,Modena F.C., ,294659,,,,,,,,,
1345299,Ted King (actor), ,294049,,,,,,,,,
2682363,Montefiore Medical Center, ,293456,,,,,,,,,
1052338,1 Esdras, ,293221,,,,,,,,,
505189,Continuation, ,291571,,,,,,,,,
20742677,Leverage (statistics), ,290396,,,,,,,,,
1637421,Wild West C.O.W.-Boys of Moo Mesa, ,289158,,,,,,,,,
