pageid,title,protection_status,view_count,,,,,,,Measures of Central Tendencies ,Protected Articles,Unprotected Articles
212860,Macaulay Culkin,"autoconfirmed,autoconfirmed",29916825,,,,,,,,,
19065069,Boris Johnson,"autoconfirmed,sysop",29744190,,,,,,,,,
11315,Friends,"autoconfirmed,sysop",29533499,,,,,,,,,
25473,Richard Nixon,"autoconfirmed,sysop",29446135,,,,,,,,,
15641,Joseph Stalin,"autoconfirmed,sysop",29368142,,,,,,,,,
13041163,Adele,sysop,29355662,,,,,,,,,
28753159,Zendaya,"autoconfirmed,autoconfirmed",29336626,,,,,,,,,
13404,Hong Kong,"autoconfirmed,sysop",29137593,,,,,,,,,
23440,Philippines,"autoconfirmed,sysop",29064962,,,,,,,,,
728776,Zlatan Ibrahimović,"autoconfirmed,autoconfirmed",28896731,,,,,,,,,
5407,California,"autoconfirmed,sysop",28875218,,,,,,,,,
22570683,Nicki Minaj,"autoconfirmed,autoconfirmed",28845312,,,,,,,,,
856,Apple Inc.,"autoconfirmed,sysop",28788481,,,,,,,,,
26709,Sean Connery,"autoconfirmed,sysop",28768784,,,,,,,,,
302167,Salman Khan,"autoconfirmed,sysop",28763988,,,,,,,,,
8083,Dr. Dre,"autoconfirmed,autoconfirmed",28716243,,,,,,,,,
14187,Henry VIII of England,"autoconfirmed,sysop",28316953,,,,,,,,,
26779,Soviet Union,"autoconfirmed,sysop",28248922,,,,,,,,,
15852,John Lennon,"autoconfirmed,sysop",28160981,,,,,,,,,
43715,John McCain,"autoconfirmed,sysop",28099875,,,,,,,,,
3382,Britney Spears,"autoconfirmed,sysop",28090044,,,,,,,,,
21473,Nikola Tesla,"autoconfirmed,sysop",27987448,,,,,,,,,
16705483,Zac Efron,"autoconfirmed,autoconfirmed",27831130,,,,,,,,,
352699,Shah Rukh Khan,"autoconfirmed,sysop",27713419,,,,,,,,,
10128,Elizabeth I of England,"autoconfirmed,sysop",27703236,,,,,,,,,
88923,Snoop Dogg,"autoconfirmed,sysop",27690986,,,,,,,,,
11250,Premier League,"autoconfirmed,sysop",27553446,,,,,,,,,
11125639,Turkey,"autoconfirmed,sysop",27534434,,,,,,,,,
16477368,Katy Perry,"autoconfirmed,sysop",27525368,,,,,,,,,
27834683,Matthew McConaughey,"autoconfirmed,autoconfirmed",27522335,,,,,,,,,
16779,Ku Klux Klan,"autoconfirmed,sysop",27498782,,,,,,,,,
27546,Sexual intercourse,"autoconfirmed,sysop",27486062,,,,,,,,,
415175,Vin Diesel,"autoconfirmed,sysop",27475871,,,,,,,,,
6690,Coca-Cola,"autoconfirmed,sysop",27257273,,,,,,,,,
19831,Margaret Thatcher,"autoconfirmed,sysop",27176812,,,,,,,,,
163169,Eazy-E,"autoconfirmed,autoconfirmed",27128372,,,,,,,,,
1439517,Rafael Nadal,"autoconfirmed,sysop",27127725,,,,,,,,,
31591547,Instagram,"autoconfirmed,autoconfirmed",27031313,,,,,,,,,
44059,Harrison Ford,"autoconfirmed,sysop",27004245,,,,,,,,,
27005455,Bruno Mars,"autoconfirmed,autoconfirmed",26973399,,,,,,,,,
25734,Taiwan,"autoconfirmed,sysop",26940714,,,,,,,,,
17416221,South Africa,"autoconfirmed,sysop",26927556,,,,,,,,,
345792,The Undertaker,"autoconfirmed,autoconfirmed",26916542,,,,,,,,,
19499,Mariah Carey,"autoconfirmed,sysop",26856839,,,,,,,,,
41844524,The Flash (2014 TV series),"autoconfirmed,autoconfirmed",26818554,,,,,,,,,
86665,Jim Carrey,"autoconfirmed,sysop",26712114,,,,,,,,,
891226,Ryan Gosling,"autoconfirmed,autoconfirmed",26706535,,,,,,,,,
8239846,Bob Marley,autoconfirmed,26637030,,,,,,,,,
46230076,Zayn Malik,"autoconfirmed,autoconfirmed",26565613,,,,,,,,,
8569916,English language,"autoconfirmed,sysop",26375888,,,,,,,,,
30535,Theodore Roosevelt,"autoconfirmed,sysop",26342105,,,,,,,,,
14532,Italy,"autoconfirmed,sysop",26195132,,,,,,,,,
68187,FC Barcelona,"autoconfirmed,sysop",26154793,,,,,,,,,
9316,England,"autoconfirmed,sysop",26134369,,,,,,,,,
274539,Ashton Kutcher,"autoconfirmed,sysop",26076877,,,,,,,,,
16100029,Novak Djokovic,"autoconfirmed,autoconfirmed",26028893,,,,,,,,,
19285924,RMS Titanic,"autoconfirmed,sysop",25975874,,,,,,,,,
14579,Indonesia,"autoconfirmed,sysop",25966977,,,,,,,,,
18119,Liverpool F.C.,"autoconfirmed,sysop",25911144,,,,,,,,,
1095706,Jesus,"autoconfirmed,sysop",25835526,,,,,,,,,
21255,North Korea,"autoconfirmed,sysop",25761378,,,,,,,,,
15326144,Neymar,"autoconfirmed,sysop",25710815,,,,,,,,,
415045,Betty White,"autoconfirmed,sysop",25648802,,,,,,,,,
19614294,Rowan Atkinson,"autoconfirmed,sysop",25559857,,,,,,,,,
82976,Taj Mahal,"autoconfirmed,sysop",25532488,,,,,,,,,
7473,Chelsea F.C.,"autoconfirmed,sysop",25514367,,,,,,,,,
